Entity,Code,Year,Median
United States,USA,1973,32738.734
United States,USA,1974,31754.926
United States,USA,1975,31787.797
United States,USA,1976,32686.896
United States,USA,1977,32736.291
United States,USA,1978,33068.176
United States,USA,1979,33067.938
United States,USA,1980,31372.1
United States,USA,1981,30413.152
United States,USA,1982,30368.268
United States,USA,1983,31013.838
United States,USA,1984,32064.695
United States,USA,1985,32393.719
United States,USA,1986,33516.69
United States,USA,1987,34762.176
United States,USA,1988,34614.273
United States,USA,1989,35015.074
United States,USA,1990,33914.523
United States,USA,1991,33602.11
United States,USA,1992,33466.484
United States,USA,1993,33005.36
United States,USA,1994,33441.82
United States,USA,1995,34108.965
United States,USA,1996,34470.555
United States,USA,1997,35177.113
United States,USA,1998,36639.836
United States,USA,1999,37526.4
United States,USA,2000,37722.01
United States,USA,2001,37424.125
United States,USA,2002,37586.17
United States,USA,2003,37852.29
United States,USA,2004,37447.055
United States,USA,2005,37566.688
United States,USA,2006,37753.004
United States,USA,2007,38091.75
United States,USA,2008,37029.316
United States,USA,2009,37372.496
United States,USA,2010,36921.684
United States,USA,2011,36473.293
United States,USA,2012,36724.797
United States,USA,2013,36622.715
United States,USA,2014,36173.758
United States,USA,2015,37484.89
United States,USA,2016,39995.824
United States,USA,2017,40313.273
United States,USA,2018,41928.195
United States,USA,2019,44390.54
United States,USA,2020,46395.746
United States,USA,2021,46657.605
United States,USA,2022,42425.125
United States,USA,2023,43753.2
United States,USA,2024,44870.47
Uruguay,URY,2004,7821.9507
Uruguay,URY,2005,8243.676
Uruguay,URY,2006,8700.558
Uruguay,URY,2007,9040.016
Uruguay,URY,2008,10057.601
Uruguay,URY,2009,10907.757
Uruguay,URY,2010,11133.061
Uruguay,URY,2011,12525.363
Uruguay,URY,2012,13142.783
Uruguay,URY,2013,13284.4795
Uruguay,URY,2014,13922.749
Uruguay,URY,2015,14169.11
Uruguay,URY,2016,14064.915
Uruguay,URY,2017,14684.83
Uruguay,URY,2018,14202.922
Uruguay,URY,2019,14060.224
Uruguay,URY,2022,13237.588
Uruguay,URY,2023,13456.405
Uruguay,URY,2024,14009.894
Vietnam,VNM,2005,5554.7783
Vietnam,VNM,2007,6728.992
Vietnam,VNM,2009,7260.2065
Vietnam,VNM,2011,8531.212
Vietnam,VNM,2013,9069.788
